# Image list with two lines of data per image:
# IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
# POINTS2D[] as (X, Y, POINT3D_ID)
180 -0.092592 0.001782 0.995686 -0.005676 0.012931 -0.002877 3.392286 1 images0180.ToneMapper.dst.1.RGBA.png

181 -0.113141 0.001927 0.993564 -0.005089 0.013693 -0.003074 3.390920 1 images0181.ToneMapper.dst.1.RGBA.png

182 -0.134119 0.001933 0.990952 -0.004715 0.014068 -0.003138 3.390827 1 images0182.ToneMapper.dst.1.RGBA.png

183 -0.154225 0.001907 0.988021 -0.005059 0.014225 -0.003133 3.390681 1 images0183.ToneMapper.dst.1.RGBA.png

184 -0.174731 0.001998 0.984602 -0.004984 0.014567 -0.002948 3.390642 1 images0184.ToneMapper.dst.1.RGBA.png

185 -0.195055 0.001929 0.980778 -0.004819 0.014756 -0.002789 3.388677 1 images0185.ToneMapper.dst.1.RGBA.png

186 -0.215169 0.001784 0.976562 -0.005010 0.014456 -0.002949 3.390037 1 images0186.ToneMapper.dst.1.RGBA.png

187 -0.235729 0.001716 0.971803 -0.005221 0.014521 -0.002704 3.388101 1 images0187.ToneMapper.dst.1.RGBA.png

188 -0.255606 0.001813 0.966766 -0.005024 0.014632 -0.003071 3.388615 1 images0188.ToneMapper.dst.1.RGBA.png

189 -0.275578 0.001649 0.961262 -0.005414 0.014148 -0.002749 3.388192 1 images0189.ToneMapper.dst.1.RGBA.png

190 -0.295833 0.001958 0.955223 -0.005191 0.014280 -0.002632 3.389044 1 images0190.ToneMapper.dst.1.RGBA.png

191 -0.315862 0.002135 0.948790 -0.004996 0.014375 -0.002098 3.386838 1 images0191.ToneMapper.dst.1.RGBA.png

192 -0.335896 0.002244 0.941884 -0.004772 0.014566 -0.002426 3.386263 1 images0192.ToneMapper.dst.1.RGBA.png

193 -0.355955 0.002253 0.934490 -0.004430 0.014412 -0.002832 3.388020 1 images0193.ToneMapper.dst.1.RGBA.png

194 -0.375982 0.002120 0.926613 -0.004630 0.014370 -0.002989 3.387659 1 images0194.ToneMapper.dst.1.RGBA.png

195 -0.395735 0.002158 0.918350 -0.004718 0.014925 -0.002616 3.385210 1 images0195.ToneMapper.dst.1.RGBA.png

196 -0.415078 0.001747 0.909773 -0.004525 0.015053 -0.002733 3.385264 1 images0196.ToneMapper.dst.1.RGBA.png

197 -0.433846 0.001736 0.900974 -0.004396 0.014548 -0.002711 3.383798 1 images0197.ToneMapper.dst.1.RGBA.png

198 -0.452613 0.001973 0.891694 -0.004341 0.014487 -0.002201 3.382644 1 images0198.ToneMapper.dst.1.RGBA.png

199 -0.471552 0.001584 0.881827 -0.004234 0.014258 -0.002396 3.380243 1 images0199.ToneMapper.dst.1.RGBA.png

200 0.489706 -0.001770 -0.871874 0.004474 0.013652 -0.002062 3.378526 1 images0200.ToneMapper.dst.1.RGBA.png

201 0.507822 -0.001438 -0.861451 0.004019 0.012981 -0.003114 3.381564 1 images0201.ToneMapper.dst.1.RGBA.png

202 0.525635 -0.001380 -0.850699 0.004095 0.012840 -0.003222 3.379629 1 images0202.ToneMapper.dst.1.RGBA.png

203 0.543670 -0.001417 -0.839287 0.004170 0.012676 -0.002747 3.378050 1 images0203.ToneMapper.dst.1.RGBA.png

204 0.560789 -0.001514 -0.827948 0.003893 0.012200 -0.002943 3.377043 1 images0204.ToneMapper.dst.1.RGBA.png

205 0.578344 -0.001124 -0.815785 0.003478 0.012116 -0.003434 3.378730 1 images0205.ToneMapper.dst.1.RGBA.png

